"product_name","stock_available","predicted_quantity","shortage","peak_month","seasonal_note"
"Boat Prime 150",116,431,315,"August","Mostly required in August"
"Philips Model 903",141,456,315,"April","Mostly required in April"
"Nike Model 972",162,477,315,"June","Mostly required in June"
"Reebok Model 604",775,1090,315,"January","Mostly required in January"
"Reebok Series 114",278,593,315,"December","Mostly required in December"
"Prestige Series 998",48,363,315,"October","Mostly required in October"
"Nike Ultra 867",264,579,315,"July","Mostly required in July"
"Dell Prime 597",82,397,315,"July","Mostly required in July"
"LG Series 240",80,395,315,"July","Mostly required in July"
"Whirlpool Series 563",199,514,315,"August","Mostly required in August"
"Whirlpool Ultra 950",202,517,315,"January","Mostly required in January"
"LG Prime 278",176,491,315,"October","Mostly required in October"
"Puma Model 861",296,610,314,"August","Mostly required in August"
"Nike Ultra 501",229,543,314,"October","Mostly required in October"
"Reebok Model 276",26,340,314,"December","Mostly required in December"
"Dell Series 852",145,459,314,"April","Mostly required in April"
"Puma Ultra 48",82,396,314,"March","Mostly required in March"
"Philips Model 658",9,323,314,"March","Mostly required in March"
"Dell Edition 435",183,497,314,"June","Mostly required in June"
"Puma Edition 12",179,493,314,"April","Mostly required in April"
"Samsung Edition 54",65,379,314,"July","Mostly required in July"
"Reebok Edition 80",463,777,314,"January","Mostly required in January"
"Reebok Prime 56",737,1051,314,"January","Mostly required in January"
"Redmi Edition 284",438,752,314,"October","Mostly required in October"
"Dell Edition 157",186,500,314,"November","Mostly required in November"
"Redmi Series 300",65,379,314,"February","Mostly required in February"
"Prestige Prime 629",717,1031,314,"January","Mostly required in January"
"Adidas Ultra 264",139,453,314,"December","Mostly required in December"
"Prestige Edition 81",889,1203,314,"January","Mostly required in January"
"Prestige Series 747",177,491,314,"April","Mostly required in April"
"Dell Ultra 154",605,919,314,"January","Mostly required in January"
"Prestige Prime 712",52,366,314,"March","Mostly required in March"
"Prestige Ultra 124",116,430,314,"January","Mostly required in January"
"Apple Series 150",242,556,314,"March","Mostly required in March"
"Samsung Ultra 172",144,458,314,"August","Mostly required in August"
"LG Model 270",28,342,314,"March","Mostly required in March"
"Sony Model 201",401,714,313,"November","Mostly required in November"
"Apple Series 594",133,446,313,"November","Mostly required in November"
"LG Series 162",367,680,313,"January","Mostly required in January"
"Nike Model 236",73,386,313,"May","Mostly required in May"
"HP Series 526",72,385,313,"March","Mostly required in March"
"Adidas Series 723",338,651,313,"May","Mostly required in May"
"Samsung Model 922",34,347,313,"July","Mostly required in July"
"Prestige Prime 425",357,670,313,"January","Mostly required in January"
"Reebok Prime 875",426,739,313,"July","Mostly required in July"
"Apple Edition 127",154,467,313,"April","Mostly required in April"
"LG Series 268",50,363,313,"September","Mostly required in September"
"Nike Edition 77",31,344,313,"August","Mostly required in August"
"Redmi Series 188",110,423,313,"April","Mostly required in April"
"Adidas Prime 931",111,424,313,"May","Mostly required in May"
"Reebok Model 868",734,1047,313,"November","Mostly required in November"
"Puma Edition 287",343,656,313,"March","Mostly required in March"
"Apple Ultra 448",149,462,313,"May","Mostly required in May"
"Apple Series 24",68,381,313,"December","Mostly required in December"
"HP Model 703",73,385,312,"May","Mostly required in May"
"Boat Ultra 17",48,360,312,"September","Mostly required in September"
"Apple Series 477",40,352,312,"September","Mostly required in September"
"Apple Series 431",548,860,312,"April","Mostly required in April"
"Whirlpool Series 905",492,804,312,"January","Mostly required in January"
"Sony Ultra 373",234,546,312,"June","Mostly required in June"
"Samsung Prime 480",71,383,312,"April","Mostly required in April"
"Reebok Ultra 233",73,385,312,"October","Mostly required in October"
"Whirlpool Model 711",962,1274,312,"January","Mostly required in January"
"Adidas Series 955",205,517,312,"October","Mostly required in October"
"Prestige Series 906",180,492,312,"March","Mostly required in March"
"Reebok Series 476",14,326,312,"December","Mostly required in December"
"Whirlpool Edition 705",131,443,312,"July","Mostly required in July"
"Whirlpool Ultra 716",414,726,312,"September","Mostly required in September"
"Dell Model 766",167,479,312,"November","Mostly required in November"
"Sony Series 780",21,333,312,"January","Mostly required in January"
"Apple Series 947",16,328,312,"January","Mostly required in January"
"LG Prime 209",33,345,312,"March","Mostly required in March"
"Whirlpool Ultra 771",157,468,311,"April","Mostly required in April"
"Philips Series 137",213,524,311,"November","Mostly required in November"
"Puma Edition 859",116,427,311,"May","Mostly required in May"
"Whirlpool Prime 22",139,450,311,"September","Mostly required in September"
"Dell Model 26",190,501,311,"January","Mostly required in January"
"Whirlpool Ultra 946",441,752,311,"June","Mostly required in June"
"Sony Ultra 674",167,478,311,"June","Mostly required in June"
"Philips Series 530",189,500,311,"January","Mostly required in January"
"Philips Edition 677",40,351,311,"January","Mostly required in January"
"Puma Ultra 189",570,881,311,"January","Mostly required in January"
"Reebok Series 46",90,401,311,"March","Mostly required in March"
"Adidas Edition 659",102,413,311,"December","Mostly required in December"
"HP Series 617",597,908,311,"January","Mostly required in January"
"Philips Prime 149",402,713,311,"January","Mostly required in January"
"Sony Model 794",105,416,311,"June","Mostly required in June"
"Samsung Edition 851",73,384,311,"November","Mostly required in November"
"LG Edition 425",48,359,311,"May","Mostly required in May"
"Reebok Edition 772",76,387,311,"July","Mostly required in July"
"Sony Edition 346",146,457,311,"October","Mostly required in October"
"Reebok Prime 870",216,527,311,"January","Mostly required in January"
"Sony Model 539",141,451,310,"February","Mostly required in February"
"Adidas Model 725",357,667,310,"September","Mostly required in September"
"Reebok Series 25",109,419,310,"April","Mostly required in April"
"Adidas Prime 854",31,341,310,"June","Mostly required in June"
"Whirlpool Ultra 923",185,495,310,"June","Mostly required in June"
"Prestige Series 374",380,690,310,"January","Mostly required in January"
"Sony Model 658",120,430,310,"October","Mostly required in October"
"Philips Ultra 349",579,889,310,"January","Mostly required in January"
"Reebok Model 765",866,1176,310,"December","Mostly required in December"
"HP Ultra 398",100,410,310,"November","Mostly required in November"
"Apple Prime 578",165,475,310,"June","Mostly required in June"
"Dell Series 480",229,539,310,"January","Mostly required in January"
"Samsung Ultra 261",445,755,310,"October","Mostly required in October"
"Redmi Ultra 500",12,322,310,"June","Mostly required in June"
"LG Model 55",656,966,310,"November","Mostly required in November"
"Boat Series 422",383,693,310,"August","Mostly required in August"
"Whirlpool Prime 323",350,660,310,"September","Mostly required in September"
"LG Prime 854",809,1119,310,"January","Mostly required in January"
"Redmi Model 547",141,451,310,"July","Mostly required in July"
"Philips Model 43",95,404,309,"November","Mostly required in November"
"Whirlpool Ultra 478",402,711,309,"September","Mostly required in September"
"Dell Model 432",335,644,309,"January","Mostly required in January"
"Apple Edition 975",1,310,309,"August","Mostly required in August"
"Puma Edition 981",67,376,309,"June","Mostly required in June"
"Adidas Prime 964",213,522,309,"September","Mostly required in September"
"Nike Model 625",98,407,309,"September","Mostly required in September"
"Redmi Ultra 439",280,589,309,"December","Mostly required in December"
"LG Model 902",55,364,309,"September","Mostly required in September"
"Puma Series 591",134,443,309,"July","Mostly required in July"
"Samsung Ultra 495",467,776,309,"January","Mostly required in January"
"Apple Series 616",214,522,308,"February","Mostly required in February"
"LG Edition 265",71,379,308,"June","Mostly required in June"
"Nike Ultra 172",78,386,308,"September","Mostly required in September"
"Dell Series 627",167,475,308,"May","Mostly required in May"
"Dell Model 607",128,436,308,"September","Mostly required in September"
"Reebok Prime 922",163,471,308,"January","Mostly required in January"
"HP Series 958",775,1083,308,"January","Mostly required in January"
"Sony Model 371",44,352,308,"March","Mostly required in March"
"Puma Ultra 16",83,391,308,"September","Mostly required in September"
"LG Ultra 428",883,1191,308,"January","Mostly required in January"
"Whirlpool Ultra 83",597,905,308,"January","Mostly required in January"
"Nike Series 267",21,329,308,"August","Mostly required in August"
"Nike Model 959",300,608,308,"August","Mostly required in August"
"Samsung Model 858",369,677,308,"September","Mostly required in September"
"Prestige Model 27",80,388,308,"March","Mostly required in March"
"Samsung Edition 403",203,511,308,"December","Mostly required in December"
"Reebok Prime 25",576,884,308,"September","Mostly required in September"
"Reebok Series 274",266,574,308,"October","Mostly required in October"
"Redmi Edition 857",49,357,308,"December","Mostly required in December"
"Redmi Series 247",148,456,308,"January","Mostly required in January"
"Sony Model 727",604,912,308,"January","Mostly required in January"
"Prestige Series 505",29,337,308,"August","Mostly required in August"
"Reebok Model 140",566,874,308,"January","Mostly required in January"
"Samsung Series 924",54,362,308,"August","Mostly required in August"
"Reebok Model 788",235,543,308,"July","Mostly required in July"
"LG Ultra 783",686,994,308,"January","Mostly required in January"
"Redmi Model 488",44,352,308,"November","Mostly required in November"
"Boat Edition 876",820,1128,308,"January","Mostly required in January"
"LG Series 997",167,474,307,"March","Mostly required in March"
"Philips Series 690",77,384,307,"May","Mostly required in May"
"Dell Edition 683",94,401,307,"February","Mostly required in February"
"Redmi Model 581",14,321,307,"June","Mostly required in June"
"LG Model 143",40,347,307,"December","Mostly required in December"
"Apple Model 773",58,365,307,"February","Mostly required in February"
"HP Ultra 170",264,571,307,"June","Mostly required in June"
"Nike Model 122",879,1186,307,"January","Mostly required in January"
"Samsung Edition 934",58,365,307,"February","Mostly required in February"
"Reebok Series 470",256,563,307,"May","Mostly required in May"
"LG Edition 158",458,765,307,"January","Mostly required in January"
"Puma Edition 180",101,408,307,"February","Mostly required in February"
"HP Model 210",156,463,307,"May","Mostly required in May"
"Reebok Model 839",818,1125,307,"January","Mostly required in January"
"Nike Prime 575",48,355,307,"January","Mostly required in January"
"Nike Series 993",94,401,307,"December","Mostly required in December"
"LG Model 57",258,565,307,"October","Mostly required in October"
"Dell Ultra 460",208,515,307,"February","Mostly required in February"
"HP Edition 405",113,420,307,"April","Mostly required in April"
"Redmi Edition 814",87,394,307,"July","Mostly required in July"
"Redmi Model 431",564,871,307,"October","Mostly required in October"
"Philips Ultra 360",66,373,307,"November","Mostly required in November"
"Boat Edition 303",470,777,307,"September","Mostly required in September"
"Samsung Series 77",107,413,306,"January","Mostly required in January"
"Reebok Series 21",229,535,306,"January","Mostly required in January"
"HP Ultra 782",198,504,306,"July","Mostly required in July"
"Prestige Edition 443",751,1057,306,"January","Mostly required in January"
"Boat Edition 49",103,409,306,"December","Mostly required in December"
"Dell Model 690",33,339,306,"May","Mostly required in May"
"Boat Series 286",14,320,306,"January","Mostly required in January"
"Boat Ultra 276",93,399,306,"October","Mostly required in October"
"Prestige Series 480",100,406,306,"June","Mostly required in June"
"Adidas Prime 235",230,536,306,"October","Mostly required in October"
"Puma Model 804",881,1187,306,"January","Mostly required in January"
"Philips Edition 980",321,627,306,"July","Mostly required in July"
"Sony Series 526",243,549,306,"January","Mostly required in January"
"Redmi Ultra 888",20,326,306,"February","Mostly required in February"
"Boat Model 856",210,516,306,"October","Mostly required in October"
"Redmi Edition 260",18,324,306,"October","Mostly required in October"
"Redmi Edition 645",833,1139,306,"January","Mostly required in January"
"Samsung Edition 357",143,449,306,"March","Mostly required in March"
"Boat Ultra 418",108,414,306,"July","Mostly required in July"
"Prestige Prime 102",453,759,306,"January","Mostly required in January"
"Philips Edition 16",193,498,305,"November","Mostly required in November"
"Dell Edition 682",56,361,305,"January","Mostly required in January"
"Sony Edition 876",138,443,305,"July","Mostly required in July"
"Nike Series 717",249,554,305,"June","Mostly required in June"
"Adidas Model 17",268,573,305,"November","Mostly required in November"
"Apple Model 16",109,414,305,"May","Mostly required in May"
"Boat Edition 516",405,710,305,"July","Mostly required in July"
"Dell Ultra 963",20,325,305,"May","Mostly required in May"
"Boat Ultra 251",522,827,305,"October","Mostly required in October"
"Prestige Ultra 682",119,424,305,"March","Mostly required in March"
"Dell Edition 559",91,396,305,"July","Mostly required in July"
"Whirlpool Prime 37",36,341,305,"February","Mostly required in February"
"Puma Ultra 857",149,454,305,"December","Mostly required in December"
"LG Series 940",138,443,305,"October","Mostly required in October"
"Samsung Series 580",189,494,305,"August","Mostly required in August"
"Puma Edition 994",609,914,305,"February","Mostly required in February"
"Apple Model 851",40,345,305,"August","Mostly required in August"
"LG Series 189",194,499,305,"October","Mostly required in October"
"Sony Prime 605",30,335,305,"March","Mostly required in March"
"Reebok Series 220",11,316,305,"November","Mostly required in November"
"Redmi Model 419",271,575,304,"September","Mostly required in September"
"Whirlpool Model 875",120,424,304,"August","Mostly required in August"
"HP Edition 957",91,395,304,"January","Mostly required in January"
"Puma Edition 446",400,704,304,"November","Mostly required in November"
"Boat Series 670",134,438,304,"April","Mostly required in April"
"Samsung Model 828",120,424,304,"October","Mostly required in October"
"Nike Model 505",783,1087,304,"January","Mostly required in January"
"HP Edition 176",101,405,304,"January","Mostly required in January"
"Nike Model 208",63,367,304,"February","Mostly required in February"
"Redmi Ultra 634",26,330,304,"November","Mostly required in November"
"Prestige Series 260",56,360,304,"January","Mostly required in January"
"Dell Edition 507",505,809,304,"January","Mostly required in January"
"LG Edition 355",366,670,304,"January","Mostly required in January"
"Samsung Model 748",168,472,304,"April","Mostly required in April"
"Samsung Prime 833",113,417,304,"December","Mostly required in December"
"Redmi Series 573",20,324,304,"June","Mostly required in June"
"Adidas Series 193",344,648,304,"May","Mostly required in May"
"Whirlpool Model 251",423,726,303,"September","Mostly required in September"
"Sony Ultra 93",622,925,303,"February","Mostly required in February"
"Samsung Model 471",131,434,303,"May","Mostly required in May"
"Apple Edition 549",34,337,303,"June","Mostly required in June"
"Sony Model 885",388,691,303,"January","Mostly required in January"
"Samsung Model 265",153,456,303,"September","Mostly required in September"
"Apple Prime 699",270,573,303,"October","Mostly required in October"
"Dell Series 471",52,355,303,"January","Mostly required in January"
"Whirlpool Model 21",656,959,303,"January","Mostly required in January"
"Dell Series 388",534,837,303,"January","Mostly required in January"
"Samsung Ultra 218",53,356,303,"August","Mostly required in August"
"Boat Model 435",311,614,303,"November","Mostly required in November"
"Dell Ultra 335",97,400,303,"July","Mostly required in July"
"Redmi Model 750",52,355,303,"June","Mostly required in June"
"Prestige Edition 478",204,507,303,"January","Mostly required in January"
"LG Model 180",468,771,303,"January","Mostly required in January"
"Sony Model 105",9,312,303,"December","Mostly required in December"
"Redmi Model 623",183,486,303,"June","Mostly required in June"
"Dell Model 349",172,475,303,"July","Mostly required in July"
"Reebok Model 840",9,312,303,"October","Mostly required in October"
"Sony Prime 346",29,331,302,"May","Mostly required in May"
"Philips Edition 584",106,408,302,"March","Mostly required in March"
"Apple Model 710",443,745,302,"January","Mostly required in January"
"Dell Ultra 477",80,382,302,"September","Mostly required in September"
"HP Edition 240",69,371,302,"January","Mostly required in January"
"Dell Model 106",80,382,302,"June","Mostly required in June"
"Boat Ultra 374",529,831,302,"January","Mostly required in January"
"Philips Prime 816",44,346,302,"October","Mostly required in October"
"Samsung Model 475",408,710,302,"August","Mostly required in August"
"Adidas Ultra 26",206,508,302,"January","Mostly required in January"
"Sony Prime 647",309,611,302,"October","Mostly required in October"
"LG Model 604",833,1135,302,"January","Mostly required in January"
"Dell Edition 620",54,356,302,"July","Mostly required in July"
"Prestige Model 81",384,686,302,"January","Mostly required in January"
"Adidas Edition 654",29,331,302,"November","Mostly required in November"
"Dell Prime 623",2,304,302,"June","Mostly required in June"
"Adidas Prime 740",252,554,302,"April","Mostly required in April"
"Redmi Ultra 934",744,1046,302,"August","Mostly required in August"
"Nike Edition 502",19,321,302,"June","Mostly required in June"
"Reebok Model 121",372,674,302,"January","Mostly required in January"
"Puma Edition 454",85,387,302,"May","Mostly required in May"
"Nike Edition 876",19,321,302,"April","Mostly required in April"
"Dell Model 427",303,605,302,"January","Mostly required in January"
"Adidas Ultra 118",46,347,301,"July","Mostly required in July"
"HP Prime 971",636,937,301,"January","Mostly required in January"
"Boat Edition 901",23,324,301,"August","Mostly required in August"
"Nike Series 262",34,335,301,"April","Mostly required in April"
"Redmi Ultra 194",175,476,301,"November","Mostly required in November"
"Samsung Series 716",488,789,301,"February","Mostly required in February"
"Dell Series 997",196,497,301,"May","Mostly required in May"
"Redmi Series 109",265,566,301,"June","Mostly required in June"
"Adidas Series 406",621,922,301,"December","Mostly required in December"
"Philips Series 749",172,473,301,"December","Mostly required in December"
"Prestige Series 427",22,323,301,"August","Mostly required in August"
"Reebok Series 976",655,956,301,"January","Mostly required in January"
"Dell Series 933",272,573,301,"January","Mostly required in January"
"LG Prime 122",342,643,301,"January","Mostly required in January"
"HP Prime 944",241,542,301,"March","Mostly required in March"
"Boat Prime 877",4,305,301,"October","Mostly required in October"
"Apple Series 374",493,794,301,"September","Mostly required in September"
"Whirlpool Edition 471",32,333,301,"February","Mostly required in February"
"Apple Prime 236",69,370,301,"November","Mostly required in November"
"Philips Ultra 563",96,397,301,"September","Mostly required in September"
"Redmi Edition 157",121,422,301,"September","Mostly required in September"
"Prestige Ultra 342",26,327,301,"January","Mostly required in January"
"Apple Series 779",70,371,301,"January","Mostly required in January"
"Philips Series 167",518,819,301,"January","Mostly required in January"
"LG Model 522",111,412,301,"May","Mostly required in May"
"Whirlpool Series 107",86,387,301,"February","Mostly required in February"
"Nike Series 275",149,450,301,"February","Mostly required in February"
"Whirlpool Edition 197",145,446,301,"January","Mostly required in January"
"LG Model 420",697,997,300,"January","Mostly required in January"
"Puma Model 603",237,537,300,"January","Mostly required in January"
"Boat Ultra 537",468,768,300,"January","Mostly required in January"
"Dell Series 283",170,470,300,"September","Mostly required in September"
"Reebok Model 881",257,557,300,"February","Mostly required in February"
"Philips Series 274",521,821,300,"May","Mostly required in May"
"Samsung Model 459",171,471,300,"January","Mostly required in January"
"Redmi Series 815",132,432,300,"August","Mostly required in August"
"Philips Ultra 656",295,595,300,"April","Mostly required in April"
"Samsung Edition 322",47,347,300,"January","Mostly required in January"
"Boat Edition 308",268,567,299,"June","Mostly required in June"
"Sony Series 329",132,431,299,"February","Mostly required in February"
"LG Model 705",42,341,299,"May","Mostly required in May"
"Adidas Prime 943",48,347,299,"July","Mostly required in July"
"Reebok Ultra 342",200,499,299,"January","Mostly required in January"
"HP Series 858",74,373,299,"February","Mostly required in February"
"Redmi Ultra 305",381,680,299,"June","Mostly required in June"
"Reebok Prime 896",15,314,299,"January","Mostly required in January"
"Redmi Series 595",327,626,299,"October","Mostly required in October"
"Puma Ultra 761",188,487,299,"December","Mostly required in December"
"Whirlpool Prime 27",107,406,299,"March","Mostly required in March"
"Nike Prime 622",87,386,299,"April","Mostly required in April"
"Nike Prime 263",39,338,299,"March","Mostly required in March"
"Redmi Series 955",163,462,299,"June","Mostly required in June"
"Samsung Series 351",743,1042,299,"January","Mostly required in January"
"Whirlpool Series 470",85,384,299,"November","Mostly required in November"
"Dell Prime 736",233,532,299,"September","Mostly required in September"
"Boat Ultra 85",167,466,299,"June","Mostly required in June"
"Redmi Ultra 382",218,517,299,"November","Mostly required in November"
"Redmi Ultra 689",793,1092,299,"January","Mostly required in January"
"LG Series 66",340,639,299,"February","Mostly required in February"
"Reebok Ultra 286",123,422,299,"October","Mostly required in October"
"Boat Model 173",27,326,299,"September","Mostly required in September"
"Apple Series 51",308,606,298,"January","Mostly required in January"
"Philips Ultra 481",347,645,298,"December","Mostly required in December"
"Reebok Edition 77",488,786,298,"June","Mostly required in June"
"Samsung Ultra 672",340,638,298,"February","Mostly required in February"
"Prestige Prime 51",198,496,298,"February","Mostly required in February"
"Adidas Model 179",414,712,298,"December","Mostly required in December"
"Whirlpool Series 389",67,365,298,"May","Mostly required in May"
"LG Edition 721",797,1095,298,"January","Mostly required in January"
"Whirlpool Model 467",155,453,298,"May","Mostly required in May"
"Redmi Model 77",489,787,298,"January","Mostly required in January"
"Nike Series 191",13,311,298,"January","Mostly required in January"
"Puma Prime 308",82,380,298,"February","Mostly required in February"
"Samsung Series 77",168,466,298,"August","Mostly required in August"
"LG Series 95",172,470,298,"March","Mostly required in March"
"Samsung Model 326",219,517,298,"May","Mostly required in May"
"Boat Ultra 591",51,349,298,"October","Mostly required in October"
"Nike Edition 399",107,405,298,"July","Mostly required in July"
"Boat Series 712",67,365,298,"March","Mostly required in March"
"Whirlpool Ultra 614",47,345,298,"June","Mostly required in June"
"Puma Ultra 753",33,331,298,"March","Mostly required in March"
"HP Prime 336",350,648,298,"January","Mostly required in January"
"Philips Model 741",48,345,297,"March","Mostly required in March"
"Whirlpool Ultra 863",222,519,297,"November","Mostly required in November"
"Apple Ultra 536",254,551,297,"January","Mostly required in January"
"Adidas Model 395",201,498,297,"September","Mostly required in September"
"Redmi Edition 260",390,687,297,"October","Mostly required in October"
"Dell Edition 584",175,472,297,"January","Mostly required in January"
"Prestige Prime 23",44,341,297,"May","Mostly required in May"
"Adidas Prime 137",215,512,297,"July","Mostly required in July"
"Boat Ultra 838",18,315,297,"May","Mostly required in May"
"Whirlpool Prime 50",45,342,297,"May","Mostly required in May"
"Puma Model 57",793,1090,297,"January","Mostly required in January"
"Dell Prime 859",138,435,297,"November","Mostly required in November"
"Dell Model 193",2,299,297,"December","Mostly required in December"
"Adidas Model 858",372,668,296,"December","Mostly required in December"
"Whirlpool Model 762",245,541,296,"March","Mostly required in March"
"Dell Ultra 417",264,560,296,"January","Mostly required in January"
"Redmi Series 850",604,900,296,"December","Mostly required in December"
"Philips Model 738",452,748,296,"October","Mostly required in October"
"Puma Model 350",55,351,296,"May","Mostly required in May"
"Boat Prime 207",5,301,296,"April","Mostly required in April"
"Dell Prime 472",436,732,296,"February","Mostly required in February"
"Dell Model 816",171,467,296,"July","Mostly required in July"
"HP Edition 352",315,611,296,"April","Mostly required in April"
"Prestige Model 637",159,455,296,"August","Mostly required in August"
"HP Ultra 489",18,314,296,"May","Mostly required in May"
"LG Edition 718",271,567,296,"November","Mostly required in November"
"Puma Ultra 722",290,586,296,"January","Mostly required in January"
"LG Ultra 457",950,1245,295,"January","Mostly required in January"
"Samsung Edition 931",317,612,295,"November","Mostly required in November"
"Whirlpool Ultra 226",322,617,295,"September","Mostly required in September"
"Samsung Series 738",471,766,295,"July","Mostly required in July"
"HP Edition 928",28,323,295,"June","Mostly required in June"
"Apple Series 828",256,551,295,"December","Mostly required in December"
"Sony Edition 15",222,517,295,"November","Mostly required in November"
"LG Series 604",213,508,295,"January","Mostly required in January"
"Prestige Series 167",24,319,295,"January","Mostly required in January"
"Boat Ultra 409",214,509,295,"May","Mostly required in May"
"Sony Edition 482",146,441,295,"August","Mostly required in August"
"Reebok Series 679",294,589,295,"November","Mostly required in November"
"LG Model 420",354,649,295,"January","Mostly required in January"
"HP Prime 58",652,947,295,"January","Mostly required in January"
"HP Prime 11",108,403,295,"January","Mostly required in January"
"Apple Ultra 835",135,430,295,"June","Mostly required in June"
"Reebok Series 592",35,330,295,"October","Mostly required in October"
"Redmi Prime 206",116,411,295,"June","Mostly required in June"
"Apple Series 742",20,315,295,"November","Mostly required in November"
"Boat Edition 838",53,348,295,"October","Mostly required in October"
"Reebok Prime 323",100,394,294,"October","Mostly required in October"
"Sony Model 821",262,556,294,"March","Mostly required in March"
"Samsung Series 870",161,455,294,"January","Mostly required in January"
"Boat Ultra 141",809,1103,294,"January","Mostly required in January"
"Prestige Edition 26",188,482,294,"January","Mostly required in January"
"Boat Series 547",21,315,294,"April","Mostly required in April"
"Puma Ultra 221",335,629,294,"November","Mostly required in November"
"Philips Prime 42",14,308,294,"July","Mostly required in July"
"Puma Ultra 174",95,389,294,"September","Mostly required in September"
"Boat Ultra 125",281,575,294,"November","Mostly required in November"
"Adidas Edition 621",6,300,294,"January","Mostly required in January"
"Dell Prime 542",71,365,294,"January","Mostly required in January"
"Samsung Prime 862",85,379,294,"July","Mostly required in July"
"Nike Model 214",235,529,294,"January","Mostly required in January"
"Redmi Series 750",417,711,294,"March","Mostly required in March"
"HP Ultra 886",58,352,294,"June","Mostly required in June"
"Adidas Prime 351",952,1245,293,"January","Mostly required in January"
"Whirlpool Model 727",655,948,293,"January","Mostly required in January"
"Philips Prime 855",860,1153,293,"January","Mostly required in January"
"Philips Series 835",91,384,293,"April","Mostly required in April"
"Redmi Edition 414",34,327,293,"December","Mostly required in December"
"Redmi Prime 970",437,730,293,"March","Mostly required in March"
"Apple Edition 535",495,788,293,"June","Mostly required in June"
"Puma Prime 651",384,677,293,"January","Mostly required in January"
"Puma Model 252",75,368,293,"January","Mostly required in January"
"Philips Prime 296",59,352,293,"February","Mostly required in February"
"Dell Prime 669",506,799,293,"April","Mostly required in April"
"Adidas Series 124",404,697,293,"September","Mostly required in September"
"Dell Series 940",142,435,293,"November","Mostly required in November"
"LG Edition 656",295,588,293,"June","Mostly required in June"
"Puma Model 174",228,521,293,"January","Mostly required in January"
"Redmi Series 353",765,1058,293,"January","Mostly required in January"
"Apple Edition 258",522,815,293,"July","Mostly required in July"
"Samsung Edition 932",962,1255,293,"January","Mostly required in January"
"Redmi Edition 834",40,332,292,"January","Mostly required in January"
"Boat Edition 538",406,698,292,"August","Mostly required in August"
"LG Edition 864",13,305,292,"April","Mostly required in April"
"Dell Prime 571",669,961,292,"January","Mostly required in January"
"Prestige Series 197",18,310,292,"January","Mostly required in January"
"Apple Series 922",689,981,292,"March","Mostly required in March"
"Puma Prime 31",135,427,292,"April","Mostly required in April"
"HP Edition 115",617,909,292,"December","Mostly required in December"
"Prestige Series 15",220,512,292,"June","Mostly required in June"
"Sony Edition 488",586,878,292,"January","Mostly required in January"
"Adidas Prime 208",108,400,292,"April","Mostly required in April"
"Redmi Model 117",56,348,292,"March","Mostly required in March"
"Nike Edition 999",386,678,292,"June","Mostly required in June"
"Reebok Edition 288",432,723,291,"January","Mostly required in January"
"Sony Edition 339",265,556,291,"May","Mostly required in May"
"Dell Model 671",9,300,291,"July","Mostly required in July"
"Dell Prime 624",149,440,291,"January","Mostly required in January"
"Reebok Series 998",628,919,291,"January","Mostly required in January"
"Prestige Series 856",398,689,291,"January","Mostly required in January"
"Adidas Ultra 46",12,303,291,"March","Mostly required in March"
"Nike Prime 779",887,1178,291,"January","Mostly required in January"
"Sony Edition 456",143,434,291,"February","Mostly required in February"
"Prestige Edition 824",189,480,291,"January","Mostly required in January"
"Samsung Series 17",209,500,291,"June","Mostly required in June"
"Prestige Ultra 770",272,563,291,"August","Mostly required in August"
"HP Series 301",163,454,291,"February","Mostly required in February"
"Whirlpool Edition 537",154,445,291,"March","Mostly required in March"
"Dell Prime 204",132,423,291,"October","Mostly required in October"
"Prestige Ultra 24",19,310,291,"September","Mostly required in September"
"Nike Ultra 841",384,675,291,"January","Mostly required in January"
"Prestige Edition 521",125,416,291,"October","Mostly required in October"
"Apple Series 91",150,440,290,"December","Mostly required in December"
"Philips Series 699",390,680,290,"January","Mostly required in January"
"HP Edition 558",78,368,290,"March","Mostly required in March"
"Nike Series 51",192,482,290,"May","Mostly required in May"
"Reebok Prime 509",644,934,290,"January","Mostly required in January"
"HP Ultra 527",501,791,290,"January","Mostly required in January"
"Prestige Edition 204",428,718,290,"June","Mostly required in June"
"Redmi Edition 891",49,339,290,"October","Mostly required in October"
"Nike Series 371",8,298,290,"November","Mostly required in November"
"Sony Model 564",187,477,290,"December","Mostly required in December"
"Whirlpool Prime 352",373,663,290,"January","Mostly required in January"
"Samsung Model 541",39,328,289,"February","Mostly required in February"
"Reebok Prime 960",23,312,289,"September","Mostly required in September"
"Prestige Series 645",866,1155,289,"January","Mostly required in January"
"Boat Edition 456",74,363,289,"January","Mostly required in January"
"Whirlpool Edition 481",42,331,289,"August","Mostly required in August"
"Puma Edition 900",28,317,289,"December","Mostly required in December"
"Philips Series 450",329,618,289,"December","Mostly required in December"
"LG Model 951",130,419,289,"November","Mostly required in November"
"Whirlpool Prime 142",253,542,289,"September","Mostly required in September"
"Redmi Series 476",439,728,289,"February","Mostly required in February"
"Boat Series 239",94,383,289,"November","Mostly required in November"
"HP Series 585",29,318,289,"October","Mostly required in October"
"Dell Prime 572",320,609,289,"March","Mostly required in March"
"Apple Edition 17",289,578,289,"June","Mostly required in June"
"Nike Series 878",508,797,289,"January","Mostly required in January"
"Reebok Prime 196",476,765,289,"January","Mostly required in January"
